ID,Exchange,Instrument,Market Active?,REST API root,Search helper
59441,binance,dashusdt,true,https://api.cryptowat.ch/markets/binance/dashusdt,binance dashusdt
1275,binance,databtc,true,https://api.cryptowat.ch/markets/binance/databtc,binance databtc
1276,binance,dataeth,true,https://api.cryptowat.ch/markets/binance/dataeth,binance dataeth
5329,binance,dcrbnb,true,https://api.cryptowat.ch/markets/binance/dcrbnb,binance dcrbnb
5328,binance,dcrbtc,true,https://api.cryptowat.ch/markets/binance/dcrbtc,binance dcrbtc
4774,binance,dentbtc,FALSE,https://api.cryptowat.ch/markets/binance/dentbtc,binance dentbtc
4775,binance,denteth,true,https://api.cryptowat.ch/markets/binance/denteth,binance denteth
60953,binance,dentusdt,true,https://api.cryptowat.ch/markets/binance/dentusdt,binance dentusdt
1786,binance,dgdbtc,true,https://api.cryptowat.ch/markets/binance/dgdbtc,binance dgdbtc
1906,binance,dgdeth,true,https://api.cryptowat.ch/markets/binance/dgdeth,binance dgdeth
1907,binance,dltbnb,true,https://api.cryptowat.ch/markets/binance/dltbnb,binance dltbnb
1779,binance,dltbtc,true,https://api.cryptowat.ch/markets/binance/dltbtc,binance dltbtc
1909,binance,dlteth,true,https://api.cryptowat.ch/markets/binance/dlteth,binance dlteth
1089,binance,dntbtc,true,https://api.cryptowat.ch/markets/binance/dntbtc,binance dntbtc
1065,binance,dnteth,true,https://api.cryptowat.ch/markets/binance/dnteth,binance dnteth
11385,binance,dockbtc,true,https://api.cryptowat.ch/markets/binance/dockbtc,binance dockbtc
11386,binance,docketh,true,https://api.cryptowat.ch/markets/binance/docketh,binance docketh
60957,binance,dockusdt,true,https://api.cryptowat.ch/markets/binance/dockusdt,binance dockusdt
60643,binance,dogebnb,true,https://api.cryptowat.ch/markets/binance/dogebnb,binance dogebnb
60644,binance,dogebtc,true,https://api.cryptowat.ch/markets/binance/dogebtc,binance dogebtc
60645,binance,dogepax,FALSE,https://api.cryptowat.ch/markets/binance/dogepax,binance dogepax
60646,binance,dogeusdc,FALSE,https://api.cryptowat.ch/markets/binance/dogeusdc,binance dogeusdc
60647,binance,dogeusdt,true,https://api.cryptowat.ch/markets/binance/dogeusdt,binance dogeusdt
61939,binance,drepbnb,true,https://api.cryptowat.ch/markets/binance/drepbnb,binance drepbnb
61940,binance,drepbtc,true,https://api.cryptowat.ch/markets/binance/drepbtc,binance drepbtc
61941,binance,drepusdt,true,https://api.cryptowat.ch/markets/binance/drepusdt,binance drepusdt
60848,binance,duskbnb,true,https://api.cryptowat.ch/markets/binance/duskbnb,binance duskbnb
60849,binance,duskbtc,true,https://api.cryptowat.ch/markets/binance/duskbtc,binance duskbtc
60850,binance,duskpax,true,https://api.cryptowat.ch/markets/binance/duskpax,binance duskpax
60851,binance,duskusdc,true,https://api.cryptowat.ch/markets/binance/duskusdc,binance duskusdc
60852,binance,duskusdt,true,https://api.cryptowat.ch/markets/binance/duskusdt,binance duskusdt
636,binance,edobtc,true,https://api.cryptowat.ch/markets/binance/edobtc,binance edobtc
637,binance,edoeth,true,https://api.cryptowat.ch/markets/binance/edoeth,binance edoeth
634,binance,elfbtc,true,https://api.cryptowat.ch/markets/binance/elfbtc,binance elfbtc
635,binance,elfeth,true,https://api.cryptowat.ch/markets/binance/elfeth,binance elfeth
940,binance,engbtc,true,https://api.cryptowat.ch/markets/binance/engbtc,binance engbtc
941,binance,engeth,true,https://api.cryptowat.ch/markets/binance/engeth,binance engeth
1917,binance,enjbnb,true,https://api.cryptowat.ch/markets/binance/enjbnb,binance enjbnb
1778,binance,enjbtc,true,https://api.cryptowat.ch/markets/binance/enjbtc,binance enjbtc
61883,binance,enjbusd,true,https://api.cryptowat.ch/markets/binance/enjbusd,binance enjbusd
1633,binance,enjeth,true,https://api.cryptowat.ch/markets/binance/enjeth,binance enjeth
